Feature,VIP Score
"Butane-2,3-dione",3.1614639484112805
3-hydroxybutan-2-one (Acetoin),3.122862388228151
2-Phenylethanol,2.5692129498425236
Methyl isovalerate,2.5159164813983463
2-Methylbutanal,2.454995016067341
3-Methylbutanal,2.352534903418939
3-Methylsulfanylpropan-1-ol (Methionol),2.3370573266023955
Benzeneacetaldehyde,2.322267914622575
Acetic acid,2.305127997313141
"Heptane-2,3-dione (Acetyl valeryl)",2.2888125793351968
3-Methylbutan-1-ol,2.284373195451721
"Butane-2,3-diol (1)",2.2506834794597697
"2,6-Dimethylheptan-4-ol",2.234115229075698
Methyl 2-methylbutanoate,2.2136224394524464
"Mentha-1,4,8-triene",2.1767699464697516
2-Pentylfuran,2.1678514382318204
Isobutyl alcohol,2.122480239673918
1-Octanol,2.030190994891843
Ethyl 2-methylbutanoate,1.8963360751072036
2-Methylbutanoic acid,1.8236023285044038
Dodecane,1.796323567521277
2-Ethylhexyl 2-thiophen-2-ylacetate,1.736559329611738
2-Ethylhexan-1-ol,1.6895277014843837
"2,2,3,3,4,4,5,5-Octafluorooctyl pentanoate",1.6210983423141712
Furan,1.5978839027438199
Propan-2-one,1.5526746313502333
1-Undecene,1.5356021243279228
"Butane-2,3-diol (2)",1.493662742822512
4-Methyloctane,1.4679539367368823
4-Methyldecane,1.4630192850546933
"2,4-Dimethyldodecane",1.4542394488119272
Ethanol,1.4150010232517927
"2,2,4,6,6-Pentamethylheptane",1.3689135819550087
Tetradecane,1.3649051942245738
Methyl-substituted alkanes 2,1.3516123399316617
Pentanal,1.3328609363411041
Nonanal,1.212037459443848
3-Methylbutyl 3-methylbutanoate (Isopentyl isopentanoate),1.2090618436074425
2-Undecanone,1.1856704363122
Tridecane,1.1471997279623307
Methyl hexanoate,1.0940145367364766
Isoamyl acetate,1.0647385732182937
1-Hexanol,1.0454803358287923
"5,7-Dimethylundecane",1.0359492324023434
Decane,1.0201183671294018
(6S)-6-methyloctan-1-ol,1.010083758878772
