Feature,VIP Score
"Butane-2,3-dione",2.8383127574266838
3-hydroxybutan-2-one (Acetoin),2.7741904893709446
2-Methylbutanal,2.375229512810229
"Heptane-2,3-dione (Acetyl valeryl)",2.3162491895828943
3-Methylbutanal,2.269841812611216
Methyl 2-methylbutanoate,2.2561762600094646
3-Methylbutan-1-ol,2.241321999404087
Benzeneacetaldehyde,2.1994808497448797
Methyl isovalerate,2.1983900183972724
1-Octanol,2.194494884144473
Ethyl 2-methylbutanoate,2.1664356996108163
2-Ethylhexan-1-ol,2.110649143967982
2-Phenylethanol,2.0888728382556425
"2,6-Dimethylheptan-4-ol",2.0820055755422646
2-Methylbutanoic acid,2.0802069360749393
Dodecane,2.062922790211556
Acetic acid,2.003667428318923
2-Pentylfuran,1.8646099453979692
3-Methylsulfanylpropan-1-ol (Methionol),1.86273558887535
Isobutyl alcohol,1.8571632417051123
4-Methyldecane,1.8134873731031638
"Butane-2,3-diol (1)",1.76160546545896
"3,7-dimethylocta-1,6-dien-3-yl 2-methylpropanoate (Linalool)",1.7558972324003357
"Mentha-1,4,8-triene",1.7494914055407205
Tetradecane,1.7150130059916238
"2,2,4,6,6-Pentamethylheptane",1.6943360384227795
2-Ethylhexyl 2-thiophen-2-ylacetate,1.6854879117602326
Nonanal,1.6640968942851242
Ethanol,1.5527217972493264
1-Hexanol,1.529204706767869
"2,2,3,3,4,4,5,5-Octafluorooctyl pentanoate",1.4894290908587031
"4,6-dimethyldodecane",1.4210365402911025
4-Methyloctane,1.3638855439606297
1-Undecene,1.3457483890469295
Methyl-substituted alkanes 2,1.3274551199423887
Ethyl 3-methylbutanoate,1.3062522782655412
Pentanal,1.3044228397519437
Decane,1.293057858410372
"5,7-Dimethylundecane",1.2799625564154655
Tridecane,1.2673048352449516
(6S)-6-methyloctan-1-ol,1.2574426722417837
"2,4-Dimethyldodecane",1.207268888329102
1-Methyl-3-ethylbenzene (Ethyltoluene),1.1956694737589635
Octanal,1.130681141731263
Dimethyl sulfite,1.1272841680881542
Undecan-4-ylbenzene (4-Phenylundecane),1.1158007836931763
1-Nonanol,1.0919386757636533
Furan,1.0372740818382291
Undecane,1.0311247763243119
"1,3-Ditert-butylbenzene",1.0270981337543035
Propan-2-one,1.0142654256194563
Methylsulfonylmethane (Dimethyl sulfone),1.0018392942351324
